State,Algorithm,Depth,Move,Score,States_Explored,Time_s
OPENING,minimax,1,"(8,7)",1500,10,0.0014
OPENING,alphabeta,1,"(8,7)",1500,10,0.0013
OPENING,minimax,2,"(8,7)",-1700,138,0.0189
OPENING,alphabeta,2,"(8,7)",-1700,36,0.0059
OPENING,minimax,3,"(8,7)",4950,2098,0.3325
OPENING,alphabeta,3,"(8,7)",4950,192,0.0277
MIDGAME,minimax,1,"(5,7)",999999,0,0.0004
MIDGAME,alphabeta,1,"(5,7)",999999,0,0.0003
MIDGAME,minimax,2,"(5,7)",999999,0,0.0003
MIDGAME,alphabeta,2,"(5,7)",999999,0,0.0003
MIDGAME,minimax,3,"(5,7)",999999,0,0.0004
MIDGAME,alphabeta,3,"(5,7)",999999,0,0.0004
AI_CAN_WIN,minimax,1,"(7,10)",1000000,0,0.0001
AI_CAN_WIN,alphabeta,1,"(7,10)",1000000,0,0.0001
AI_CAN_WIN,minimax,2,"(7,10)",1000000,0,0.0001
AI_CAN_WIN,alphabeta,2,"(7,10)",1000000,0,0.0001
AI_CAN_WIN,minimax,3,"(7,10)",1000000,0,0.0001
AI_CAN_WIN,alphabeta,3,"(7,10)",1000000,0,0.0001
NEED_BLOCK,minimax,1,"(7,10)",999999,0,0.0002
NEED_BLOCK,alphabeta,1,"(7,10)",999999,0,0.0002
NEED_BLOCK,minimax,2,"(7,10)",999999,0,0.0002
NEED_BLOCK,alphabeta,2,"(7,10)",999999,0,0.0002
NEED_BLOCK,minimax,3,"(7,10)",999999,0,0.0002
NEED_BLOCK,alphabeta,3,"(7,10)",999999,0,0.0002
COMPLEX,minimax,1,"(6,6)",999999,0,0.0006
COMPLEX,alphabeta,1,"(6,6)",999999,0,0.0004
COMPLEX,minimax,2,"(6,6)",999999,0,0.0004
COMPLEX,alphabeta,2,"(6,6)",999999,0,0.0004
COMPLEX,minimax,3,"(6,6)",999999,0,0.0004
COMPLEX,alphabeta,3,"(6,6)",999999,0,0.0008
SEARCH_HEAVY,minimax,1,"(6,12)",1000000,0,0.0002
SEARCH_HEAVY,alphabeta,1,"(6,12)",1000000,0,0.0002
SEARCH_HEAVY,minimax,2,"(6,12)",1000000,0,0.0002
SEARCH_HEAVY,alphabeta,2,"(6,12)",1000000,0,0.0002
SEARCH_HEAVY,minimax,3,"(6,12)",1000000,0,0.0002
SEARCH_HEAVY,alphabeta,3,"(6,12)",1000000,0,0.0002
